compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,reaction_string,delta_icohp_windowed_total,delta_icohp_windowed_per_atom
exp_stable_TaP_mp-1067587,mp-1067587,TaP,exp_stable,,True,False,0.0,TaP -> Ta + P,4.07607666666667,1.0190191666666675
exp_stable_TaSb2_mp-11697,mp-11697,TaSb2,exp_stable,,True,False,0.0,TaSb2 -> Ta + 2 Sb,3.8152800000000058,0.635880000000001
exp_stable_Te2Pd_mp-782,mp-782,Te2Pd,exp_stable,,True,False,0.0,0.5 Te2Pd -> Te + 0.5 Pd,-2.3276533333333345,-0.7758844444444448
exp_stable_Te2Ru_mp-267,mp-267,Te2Ru,exp_stable,,False,False,0.0,0.5 Te2Ru -> Te + 0.5 Ru,-1.7754566666666667,-0.29590944444444445
exp_stable_TeO2_mp-8377,mp-8377,TeO2,exp_stable,,False,False,0.0,TeO2 -> Te + O2,-4.7067066666666655,-0.39222555555555544
exp_stable_Ti3In_mp-866046,mp-866046,Ti3In,exp_stable,,True,False,0.0,0.3333 Ti3In -> Ti + 0.3333 In,0.3182399999999994,0.039779999999999927
exp_stable_Ti3Pt_mp-2339,mp-2339,Ti3Pt,exp_stable,,True,False,0.0,0.3333 Ti3Pt -> Ti + 0.3333 Pt,-12.167240000000003,-1.5209050000000004
exp_stable_TiBe12_mp-1104067,mp-1104067,TiBe12,exp_stable,,True,False,0.0,TiBe12 -> Ti + 12 Be,-2.9249650000000065,-0.2249973076923082
exp_stable_TiNi_mp-1048,mp-1048,TiNi,exp_stable,,True,False,0.0,TiNi -> Ti + Ni,-2.7946500000000016,-0.6986625000000004
exp_stable_TiO_mp-1071163,mp-1071163,TiO,exp_stable,,True,False,0.0,TiO -> Ti + 0.5 O2,0.04360749999999993,0.007267916666666655
exp_stable_TiSi2_mp-1077503,mp-1077503,TiSi2,exp_stable,,True,False,0.0,TiSi2 -> Ti + 2 Si,1.6659700000000017,0.277661666666667
exp_stable_TlCl_mp-571079,mp-571079,TlCl,exp_stable,,False,False,0.0,TlCl -> Tl + 0.5 Cl2,0.6040399999999986,0.15100999999999964
exp_stable_VNi2_mp-11531,mp-11531,VNi2,exp_stable,,True,False,0.0,VNi2 -> V + 2 Ni,-1.3703100000000021,-0.45677000000000073
exp_stable_WO2_mp-1524394,mp-1524394,WO2,exp_stable,,True,False,0.0,WO2 -> W + O2,-2.34879,-0.1957325
exp_stable_Zr2Au_mp-2348,mp-2348,Zr2Au,exp_stable,,True,False,0.0,0.5 Zr2Au -> Zr + 0.5 Au,0.8825800000000013,0.29419333333333375
exp_stable_Zr5Pb3_mp-681992,mp-681992,Zr5Pb3,exp_stable,,True,False,0.0,0.2 Zr5Pb3 -> Zr + 0.6 Pb,-0.5785999999999998,-0.036162499999999986
exp_stable_ZrMo2_mp-2049,mp-2049,ZrMo2,exp_stable,,True,False,0.0,ZrMo2 -> Zr + 2 Mo,-1.5519200000000002,-0.25865333333333335
extension_AgN_anchor_mp-1091417,mp-1091417,AgN,extension,,True,False,1.5201297641666667,AgN -> Ag + 0.5 N2,2.5643500000000023,0.3205437500000003
extension_AgN_poly_mp-1009766,mp-1009766,AgN,extension,,True,True,1.5494896491666665,AgN -> Ag + 0.5 N2,1.1940450000000007,0.5970225000000003
extension_AgN_poly_mp-1424734,mp-1424734,AgN,extension,,True,True,1.9196186741666672,AgN -> Ag + 0.5 N2,1.3834700000000002,0.34586750000000005
extension_AgN_poly_mp-1428312,mp-1428312,AgN,extension,,True,True,1.6518583891666676,AgN -> Ag + 0.5 N2,0.7949650000000005,0.39748250000000024
extension_Ba5P4_exp_mp-17566,mp-17566,Ba5P4,extension,,False,False,3.472888887223746e-05,0.2 Ba5P4 -> Ba + 0.8 P,-14.945086666666686,-0.4151412962962968
extension_BaCl2_exp_mp-23199,mp-23199,BaCl2,extension,ionic,False,False,0.006785772499999787,BaCl2 -> Ba + Cl2,-10.53051000000001,-0.8775425000000009
extension_BaF3_exp_mp-1080821,mp-1080821,BaF3,extension,ionic,False,False,0.0,BaF3 -> Ba + 1.5 F2,-8.346420000000009,-1.0433025000000011
extension_BaF3_theo_mp-1183303,mp-1183303,BaF3,extension,,True,True,0.061207927499999926,BaF3 -> Ba + 1.5 F2,-3.7633150000000013,-0.9408287500000003
extension_BaN2_exp_mp-1102371,mp-1102371,BaN2,extension,,True,False,2.056778179166667,BaN2 -> Ba + N2,-5.60909,-0.4674241666666667
extension_BaO_exp_mp-1008500,mp-1008500,BaO,extension,ionic,False,False,0.01888829749999843,BaO -> Ba + 0.5 O2,-3.1282650000000043,-0.7820662500000011
extension_BaO_theo_mp-1950989,mp-1950989,BaO,extension,ionic,False,True,0.04343597749999972,BaO -> Ba + 0.5 O2,-2.911715000000004,-0.727928750000001
extension_BaS3_exp_mp-556296,mp-556296,BaS3,extension,,False,False,0.04356796437499888,BaS3 -> Ba + 3 S,-5.3687112500000005,-0.33554445312500003
extension_Be3N2_exp_mp-18337,mp-18337,Be3N2,extension,,False,False,0.0,0.3333 Be3N2 -> Be + 0.3333 N2,-14.475430000000005,-0.3618857500000001
extension_Be3N2_theo_mp-1017550,mp-1017550,Be3N2,extension,,False,True,0.20808621349999967,0.3333 Be3N2 -> Be + 0.3333 N2,-0.5763149999999998,-0.11526299999999996
extension_Be3P2_exp_mp-567841,mp-567841,Be3P2,extension,,False,False,0.0,0.3333 Be3P2 -> Be + 0.6667 P,-1.6113866666666743,-0.04028466666666686
extension_Be3P2_theo_mp-1084771,mp-1084771,Be3P2,extension,,False,True,0.15672523674999983,0.3333 Be3P2 -> Be + 0.6667 P,-0.4180866666666705,-0.04180866666666705
extension_BeCl2_exp_mp-23267,mp-23267,BeCl2,extension,ionic,False,False,0.008707515833333623,BeCl2 -> Be + Cl2,-5.605110000000003,-0.9341850000000006
extension_BeCl2_theo_mp-1172909,mp-1172909,BeCl2,extension,ionic,False,True,3.1687985972222217,BeCl2 -> Be + Cl2,-4.817640000000026,-0.13382333333333404
extension_BeF2_exp_mp-15951,mp-15951,BeF2,extension,ionic,False,False,0.00039670611111120024,BeF2 -> Be + F2,-10.084445000000008,-1.1204938888888898
extension_BeF2_theo_mp-975644,mp-975644,BeF2,extension,,True,True,2.518145377222223,BeF2 -> Be + F2,-1.5718650000000016,-0.5239550000000005
extension_BeO_exp_mp-7599,mp-7599,BeO,extension,ionic,False,False,0.015346631250000797,BeO -> Be + 0.5 O2,-5.64101000000001,-0.7051262500000013
extension_BeO_theo_mp-1778,mp-1778,BeO,extension,ionic,False,True,0.006973667500000502,BeO -> Be + 0.5 O2,-1.3608575000000012,-0.6804287500000006
extension_C3N4_anchor_mp-571653,mp-571653,C3N4,extension,covalent,False,False,0.4981181882142849,0.3333 C3N4 -> C + 0.6667 N2,0.8156099999999997,0.11651571428571425
extension_C3N4_poly_mp-1182484,mp-1182484,C3N4,extension,covalent,False,True,0.5848164510714273,0.3333 C3N4 -> C + 0.6667 N2,-4.25879,-0.3041992857142857
extension_C3N4_poly_mp-2852,mp-2852,C3N4,extension,covalent,False,True,0.5033424574999987,0.3333 C3N4 -> C + 0.6667 N2,1.013549999999999,0.0723964285714285
extension_C3N4_poly_mp-563,mp-563,C3N4,extension,covalent,False,True,1.5118795946428563,0.3333 C3N4 -> C + 0.6667 N2,-0.12362000000000561,-0.008830000000000402
extension_Ca3N2_exp_mp-1047,mp-1047,Ca3N2,extension,,False,False,0.01669766374999959,0.3333 Ca3N2 -> Ca + 0.3333 N2,-4.637750000000008,-0.46377500000000077
extension_Ca3N2_mp-844,mp-844,Ca3N2,extension,,False,False,0.0,0.3333 Ca3N2 -> Ca + 0.3333 N2,-21.17035000000002,-0.5292587500000006
extension_Ca3N2_theo_mp-1013524,mp-1013524,Ca3N2,extension,,True,True,0.5111703895000002,0.3333 Ca3N2 -> Ca + 0.3333 N2,-3.9670000000000036,-0.7934000000000008
extension_CaCl2_exp_mp-23214,mp-23214,CaCl2,extension,ionic,False,False,0.0011452108333331878,CaCl2 -> Ca + Cl2,-5.337570000000005,-0.8895950000000008
extension_CaCl2_theo_mp-1120739,mp-1120739,CaCl2,extension,ionic,False,True,0.04218543083333426,CaCl2 -> Ca + Cl2,-1.9207000000000016,-0.6402333333333339
extension_CaF2_exp_mp-10464,mp-10464,CaF2,extension,ionic,False,False,0.03464170166666669,CaF2 -> Ca + F2,-10.81484000000001,-0.9012366666666675
extension_CaF2_theo_mp-554355,mp-554355,CaF2,extension,ionic,False,True,0.24025145999999964,CaF2 -> Ca + F2,-3.4544900000000025,-1.1514966666666675
extension_CaN_mp-1058549,mp-1058549,CaN,extension,,True,False,0.39816828843749974,CaN -> Ca + 0.5 N2,-1.0377550000000013,-0.5188775000000007
extension_CaO_exp_mp-1079707,mp-1079707,CaO,extension,ionic,False,False,0.20976985500000023,CaO -> Ca + 0.5 O2,-5.213820000000011,-0.6517275000000013
extension_CaO_mp-2605,mp-2605,CaO,extension,ionic,False,False,0.0,CaO -> Ca + 0.5 O2,-1.5404025000000026,-0.7702012500000013
extension_CaO_theo_mp-1181903,mp-1181903,CaO,extension,,True,True,2.7281320512499994,CaO -> Ca + 0.5 O2,-6.021700000000012,-0.7527125000000014
extension_Cs2S_exp_mp-1077814,mp-1077814,Cs2S,extension,,False,False,0.06672482000000102,0.5 Cs2S -> Cs + 0.5 S,-0.36164687500000126,-0.060274479166666874
extension_CsCl_exp_mp-573697,mp-573697,CsCl,extension,ionic,False,False,0.007141250000000099,CsCl -> Cs + 0.5 Cl2,-1.4745600000000019,-0.7372800000000009
extension_CsF_exp_mp-8455,mp-8455,CsF,extension,ionic,False,False,0.10877166999999943,CsF -> Cs + 0.5 F2,-1.2861000000000016,-0.6430500000000008
extension_CsN3_exp_mp-510557,mp-510557,CsN3,extension,,False,False,0.0,CsN3 -> Cs + 1.5 N2,-4.096550000000003,-0.5120687500000004
extension_CsN3_theo_mp-1225892,mp-1225892,CsN3,extension,,False,True,0.011297812499998727,CsN3 -> Cs + 1.5 N2,-2.051055000000001,-0.5127637500000003
extension_CsO2_exp_mp-1441,mp-1441,CsO2,extension,,True,False,0.03485998833333248,CsO2 -> Cs + O2,-0.12249500000000246,-0.04083166666666749
extension_CsO2_theo_mp-1096936,mp-1096936,CsO2,extension,,True,True,0.0940473483333335,CsO2 -> Cs + O2,0.10480499999999804,0.03493499999999935
extension_CsP7_exp_mp-1201790,mp-1201790,CsP7,extension,,False,False,0.0,CsP7 -> Cs + 7 P,-4.182936666666659,-0.1307167708333331
extension_CsP7_theo_mp-1213206,mp-1213206,CsP7,extension,,False,True,8.425187500016307e-05,CsP7 -> Cs + 7 P,-4.135496666666664,-0.12923427083333325
