compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,delta_per_formula_unit_eV,delta_per_atom_eV,delta_per_bond_eV
extension_NiSb3_mp-1106023,mp-1106023,NiSb3,extension,metallic,True,False,0.01561135500000077,-0.8543950000000073,-0.21359875000000184,0.07832885465297221
extension_OsC_anchor_mp-7142,mp-7142,OsC,extension,metallic,True,False,0.9160852612500001,-4.033534999999993,-2.0167674999999967,-0.11803374166666669
extension_OsC_poly_mp-1009537,mp-1009537,OsC,extension,metallic,True,True,1.4795162512500006,-4.636775000000011,-2.3183875000000054,-0.1090395333333335
extension_OsC_poly_mp-1009539,mp-1009539,OsC,extension,metallic,True,True,1.3918186662499998,-6.22820500000001,-3.114102500000005,-0.12567932568306026
extension_OsC_poly_mp-999308,mp-999308,OsC,extension,metallic,True,True,0.9277737837499984,-5.914384999999999,-2.9571924999999997,-0.08043236171617166
extension_P4Se5_mp-2447,mp-2447,P4Se5,extension,covalent,False,False,0.00974189644444401,3.2071340476190997,0.3563482275132333,0.03600098647957628
extension_PNO_mp-675742,mp-675742,PNO,extension,mixed,False,True,1.4997472041111104,2.023175178571421,0.6743917261904736,-0.060716712866566325
extension_PW3_mp-1209828,mp-1209828,PW3,extension,metallic,True,True,0.057999603124997634,-47.51709523809522,-11.879273809523806,0.1267322285333794
extension_Pb2Au_mp-22795,mp-22795,Pb2Au,extension,metallic,True,False,0.0,-20.435444999999994,-6.811814999999998,-0.16618353903903893
extension_PbAu3_mp-982246,mp-982246,PbAu3,extension,metallic,True,True,0.081645635000001,-43.21482000000001,-10.803705000000003,-0.13241575985663084
extension_PbN6_mp-620058,mp-620058,PbN6,extension,mixed,False,False,0.1096255538095221,11.798190000000261,1.6854557142857516,-3.304638604100301
extension_PbN6_mp-667338,mp-667338,PbN6,extension,mixed,False,False,0.10931083119047358,11.862004166666878,1.694572023809554,-3.3114367171412478
extension_Rb2O_exp_mp-1394,mp-1394,Rb2O,extension,ionic,False,False,0.0031695866666665573,2.1706062499999934,0.7235354166666644,0.0062746942640691805
extension_Rb2O_theo_mp-2023482,mp-2023482,Rb2O,extension,ionic,False,True,0.047853428888886995,-2.2775587500000034,-0.7591862500000012,0.016492908549783525
extension_Rb3In_mp-974948,mp-974948,Rb3In,extension,metallic,True,True,0.16634191892045447,-10.394512500000003,-2.5986281250000007,0.08708673809523815
extension_Rb3Li_mp-974938,mp-974938,Rb3Li,extension,metallic,True,True,0.14514899354166677,-3.0241791666666646,-0.7560447916666662,0.08975703631647211
extension_Rb3P11_mp-1173444,mp-1173444,Rb3P11,extension,metallic,True,True,0.27383845571428367,-0.006602619047654912,-0.0004716156462610651,-0.14191855924990565
extension_Rb3P_mp-974822,mp-974822,Rb3P,extension,ionic,False,True,0.11857260520833357,3.626959761904761,0.9067399404761902,-0.2229260356436868
extension_RbCl_exp_mp-23299,mp-23299,RbCl,extension,ionic,False,False,0.02977404000000128,3.584817500000002,1.792408750000001,0.04914189310689317
extension_RbF_exp_mp-2064,mp-2064,RbF,extension,ionic,False,False,0.05158332500000107,7.848772500000006,3.924386250000003,0.05803165873015881
extension_RbF_theo_mp-11718,mp-11718,RbF,extension,ionic,False,True,0.0,3.899402499999998,1.949701249999999,0.07556564444444439
extension_RbN3_exp_mp-581833,mp-581833,RbN3,extension,mixed,False,False,0.019336026250000415,9.380027500000004,2.345006875000001,-0.25473747579983597
extension_RbN3_theo_mp-1219567,mp-1219567,RbN3,extension,mixed,False,True,0.79660387875,0.5168874999999602,0.12922187499999005,-0.3618833844393597
extension_RbP15_mp-1209298,mp-1209298,RbP15,extension,mixed,False,True,0.0,-1.705103571428495,-0.10656897321428094,-0.0037581214711318034
extension_RbP_exp_mp-1179688,mp-1179688,RbP,extension,metallic,True,False,0.9878872979166671,-3.862905238095239,-1.9314526190476196,-0.266519048994975
extension_RbP_theo_mp-1058499,mp-1058499,RbP,extension,metallic,True,True,0.9881531929166671,-3.8208052380952404,-1.9104026190476202,-0.2651157156616417
extension_RbS_exp_mp-558071,mp-558071,RbS,extension,mixed,False,False,0.0018650299999998232,-0.6433856249999961,-0.32169281249999804,-0.017884920042175345
extension_RbS_theo_mp-1179684,mp-1179684,RbS,extension,ionic,False,True,0.9974513208333313,-5.469430624999995,-2.7347153124999974,0.2525492904841406
