kpoint_fail_frac,max_band_deviation,charge_spilling_pct,compound_id,delta_per_atom_eV,robust_z
,,1.13,extension_Ge3Mo5_mp-17094,-4.378264999999999,1.5357475345318938
0.2303206997084548,9.89767,0.99,extension_Ge3O_mp-1184665,-2.2923896874999974,0.5650440721869332
0.02734375,0.688347,1.1,extension_GeAs_mp-7591,0.0075499999999948,0.5052784942971685
0.22740524781341107,7.74872,1.29,extension_GeSb_mp-9935,-0.2110599999999989,0.4035439933749205
,,1.06,extension_GeTe_mp-938,-1.0625158333333315,0.007302127671128968
,,0.83,extension_Ge_mp-32,,
0.020833333333333332,0.000183138,1.56,extension_H2CN2_mp-703527,1.14038125000001,1.0324639928922978
,,1.62,extension_H2CN5_mp-1212563,3.057136562499995,1.9244641077418432
0.19666666666666666,6.73626,0.83,extension_H3Pd4_mp-1224413,-2.188125714285708,0.516522763559118
,,4.76,extension_H4N_mp-1238814,0.972632999999999,0.9543990164761589
,,1.66,extension_H9CN9_mp-1202455,2.117253684210543,1.4870709621943106
0.01984126984126984,8.23632,1.42,extension_HC2N3_mp-1103408,4.081459999999997,2.4011533428958947
0.08333333333333333,8.72702,1.16,extension_HC2_mp-995184,-0.6802483333333479,0.18519789333278625
0.09090909090909091,0.401968,1.11,extension_HC3_mp-995200,-0.3999400000000115,0.31564493782304254
0.012987012987012988,1.04465,1.06,extension_HC6_mp-995202,-0.3498957142857161,0.33893403910456843
0.03333333333333333,0.00620674,1.16,extension_HC_mp-995197,-0.4698106250000098,0.28312925618221835
0.023809523809523808,0.000361526,1.72,extension_HN_mp-1224501,2.26862968749999,1.5575167887633463
,,1.58,extension_HN_mp-23922,2.5491090624999995,1.6880434308868117
,,1.62,extension_HN_mp-720515,2.3389855000000086,1.5902582620338683
,,2.27,extension_H_mp-730101,,
0.023148148148148147,5.37887,1.81,extension_Hf3Pb_mp-1184772,-2.7346975,0.7708807885251624
0.12345679012345678,9.07468,1.2,extension_HfCd_mp-1007758,-0.9037950000000023,0.08116601662922794
,,1.83,extension_HfCr2_mp-569624,-1.2985208333333382,0.1025274816338274
0.15160349854227406,9.75914,1.8,extension_HfCu3_mp-1184704,-1.5767025000000023,0.23198483959573693
0.3333333333333333,8.73683,6.68,extension_HfMg15_mp-1023478,-0.4425481250000002,0.29581640147014593
0.085,6.63405,1.4,extension_HfW2_mp-1224230,-7.285349999999994,2.8886172185059174
0.0411522633744856,8.17466,2.61,extension_Hf_mp-103,,
0.2,6.64154,1.31,extension_Hg3Pb_mp-1184700,-1.4571200000000095,0.17633475059461923
0.45,9.97584,1.59,extension_Hg3Sb_mp-977242,-0.5801700000000043,0.23177133139508155
0.3333333333333333,0.33388,1.05,extension_Hg5Pd2_mp-30721,0.0109133333333387,0.5068436881954481
0.08888888888888889,6.12299,1.46,extension_Hg_mp-10861,,
,,1.24,extension_I_mp-23153,,
0.07407407407407407,3.09125,0.93,extension_In2Te3_mp-1105025,-2.3667219999999998,0.5996360886298431
0.08333333333333333,0.00566904,0.76,extension_In7Cu10_mp-646039,-3.067665294117654,0.9258339579032437
0.04938271604938271,9.7609,1.18,extension_InNi_mp-20997,-0.2236950000000028,0.39766404543496786
0.3333333333333333,2.45899,1.65,extension_InSn4_mp-1223653,-0.4245279999999966,0.30420242417465143
,,1.24,extension_In_mp-1055994,,
0.5160349854227405,8.75105,2.2,extension_Ir3Ru_mp-974358,-11.896402499999994,5.034461986877893
1.0,2.00891,11.5,extension_Ir4W_mp-1223666,-14.282789999999997,6.145014758112504
0.9835390946502057,1.64116,5.6,extension_IrPd_mp-1223675,-6.181680000000007,2.3750024861841603
0.18229166666666666,9.5144,2.26,extension_Ir_mp-101,,
,,1.26,extension_K2O_exp_mp-971,-0.4357045833333366,0.2990011793668508
0.11836734693877551,9.10144,1.08,extension_K2O_theo_mp-1223784,-1.5638312500000011,0.22599494803086959
0.28703703703703703,9.73163,0.69,extension_K2S_exp_mp-1022,-0.3359177083333315,0.3454389815109272
